00:10:29.064126 config: drop-rate=0.00, max-delay=0s, seed=1553919029061645663
00:10:29.067905 router is listening at :3000
00:11:19.774774 config: drop-rate=0.00, max-delay=0s, seed=1553919079774730930
00:11:19.775062 router is listening at :3000
00:11:53.416780 [queue=0] packet #0, 127.0.0.1:56742 -> 127.0.0.1:8080, sz=54 is delivered
00:11:53.417263 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56742, sz=54 is delivered
00:11:53.669273 [queue=0] packet #1, 127.0.0.1:56742 -> 127.0.0.1:8080, sz=0 is delivered
00:11:53.669974 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:56742, sz=0 is delivered
00:11:53.714871 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:56742, sz=588 is delivered
00:11:53.715543 [queue=0] packet #0, 127.0.0.1:56742 -> 127.0.0.1:8080, sz=588 is delivered
00:11:53.966339 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:56742, sz=0 is delivered
00:11:53.966575 [queue=0] packet #1, 127.0.0.1:56742 -> 127.0.0.1:8080, sz=0 is delivered
00:54:31.013664 config: drop-rate=0.00, max-delay=0s, seed=1553921671013614708
00:54:31.013877 router is listening at :3000
00:54:51.562103 [queue=0] packet #0, 127.0.0.1:45317 -> 127.0.0.1:8080, sz=54 is delivered
00:54:51.562437 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:45317, sz=54 is delivered
00:57:16.659560 [queue=0] packet #0, 127.0.0.1:43584 -> 127.0.0.1:8080, sz=54 is delivered
00:57:16.660075 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:43584, sz=54 is delivered
00:57:16.665797 [queue=0] packet #1, 127.0.0.1:43584 -> 127.0.0.1:8080, sz=0 is delivered
00:57:16.665937 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:43584, sz=0 is delivered
00:57:16.677956 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:43584, sz=588 is delivered
00:57:16.678457 [queue=0] packet #0, 127.0.0.1:43584 -> 127.0.0.1:8080, sz=588 is delivered
00:57:16.680901 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:43584, sz=0 is delivered
00:57:16.681113 [queue=0] packet #1, 127.0.0.1:43584 -> 127.0.0.1:8080, sz=0 is delivered
00:58:08.092545 config: drop-rate=0.20, max-delay=0s, seed=1553921888092460357
00:58:08.092738 router is listening at :3000
00:58:13.491285 [queue=0] packet #0, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=54 is delivered
00:58:13.491679 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=54 is delivered
00:58:13.503189 [queue=0] packet #1, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=0 is delivered
00:58:13.503649 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=0 is delivered
00:58:13.518635 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=669 is delivered
00:58:13.518796 [queue=0] packet #0, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=669 is dropped
00:58:13.769309 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=669 is delivered
00:58:13.769505 [queue=0] packet #0, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=669 is dropped
00:58:14.020788 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=669 is delivered
00:58:14.021038 [queue=0] packet #0, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=669 is delivered
00:58:14.025517 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:32891, sz=0 is delivered
00:58:14.025788 [queue=0] packet #1, 127.0.0.1:32891 -> 127.0.0.1:8080, sz=0 is delivered
00:59:34.986707 config: drop-rate=0.00, max-delay=5ms, seed=1553921974986657131
00:59:34.986927 router is listening at :3000
00:59:40.349506 [queue=1] packet #0, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=54 is delayed for 4.5ms
00:59:40.354356 [queue=0] packet #0, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=54 is delivered
00:59:40.354705 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=54 is delayed for 4.25ms
00:59:40.359217 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=54 is delivered
00:59:40.374595 [queue=1] packet #1, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=0 is delayed for 50µs
00:59:40.375339 [queue=0] packet #1, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=0 is delivered
00:59:40.376384 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delayed for 3.25ms
00:59:40.379849 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delivered
00:59:40.390890 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=588 is delayed for 1.8ms
00:59:40.393020 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=588 is delivered
00:59:40.393595 [queue=1] packet #0, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=588 is delayed for 550µs
00:59:40.394356 [queue=0] packet #0, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=588 is delivered
00:59:40.399904 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delayed for 1.45ms
00:59:40.401574 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delivered
00:59:40.401728 [queue=1] packet #1, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=0 is delayed for 4.1ms
00:59:40.406054 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delayed for 4.15ms
00:59:40.406058 [queue=1] packet #1, 127.0.0.1:49838 -> 127.0.0.1:8080, sz=0 is delivered
00:59:40.413987 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:49838, sz=0 is delivered
01:07:39.760199 [queue=1] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=54 is delayed for 1.5ms
01:07:39.761949 [queue=0] packet #0, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=54 is delivered
01:07:39.762166 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=54 is delayed for 200µs
01:07:39.762497 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=54 is delivered
01:07:39.767339 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 3.4ms
01:07:39.770546 [queue=2] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 3ms
01:07:39.770940 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.773803 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.775698 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 4.75ms
01:07:39.780621 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.780795 [queue=1] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 4.15ms
01:07:39.783365 [queue=2] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delayed for 3.1ms
01:07:39.784612 [queue=3] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delayed for 2.25ms
01:07:39.785160 [queue=2] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.786740 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delivered
01:07:39.787016 [queue=0] packet #1, 127.0.0.1:60451 -> 127.0.0.1:8080, sz=0 is delivered
01:07:39.792625 [queue=1] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delayed for 4.75ms
01:07:39.797554 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:60451, sz=588 is delivered
