23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
23:16:27.245142 router is listening at :3000
23:17:08.359496 [queue=0] packet #1, 127.0.0.1:60793 -> 127.0.0.1:8007, sz=17 is delivered
23:17:08.376495 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60793, sz=17 is delivered
23:23:34.703614 config: drop-rate=0.00, max-delay=0s, seed=1552533814702615300
23:23:34.704615 router is listening at :3000
23:24:49.775750 [queue=0] packet #1, 127.0.0.1:55827 -> 127.0.0.1:0, sz=1013 is delivered
23:26:51.000249 [queue=0] packet #1, 127.0.0.1:61347 -> 127.0.0.1:0, sz=1013 is delivered
23:28:53.539763 [queue=0] packet #1, 127.0.0.1:58929 -> 127.0.0.1:0, sz=1013 is delivered
23:28:53.540762 [queue=0] packet #1, 127.0.0.1:58930 -> 127.0.0.1:0, sz=1013 is delivered
23:30:13.850103 failed to deliver #2130706433, 127.0.0.1:59605 -> 0.0.0.0:8007, sz=1013: write udp [::]:3000->0.0.0.0:8007: wsasendto: The requested address is not valid in its context.
23:30:13.851103 failed to deliver #98048, 127.0.0.1:59606 -> 0.1.0.0:8007, sz=1013: write udp [::]:3000->0.1.0.0:8007: wsasendto: A socket operation was attempted to an unreachable network.
23:33:08.986116 [queue=0] packet #1, 127.0.0.1:58365 -> 127.0.0.1:8007, sz=1013 is delivered
23:33:08.987119 [queue=0] packet #1, 127.0.0.1:58366 -> 127.0.0.1:8007, sz=1013 is delivered
23:33:08.993120 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58365, sz=1013 is delivered
23:33:08.993120 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58366, sz=1013 is delivered
23:44:38.196494 config: drop-rate=0.00, max-delay=0s, seed=1552535078194484800
23:44:38.201461 router is listening at :3000
23:44:45.747717 [queue=0] packet #1, 127.0.0.1:55603 -> 127.0.0.1:8007, sz=17 is delivered
23:44:45.751719 [queue=0] packet #1, 127.0.0.1:55604 -> 127.0.0.1:8007, sz=17 is delivered
23:44:45.755716 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55603, sz=17 is delivered
23:44:45.755716 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55604, sz=17 is delivered
15:18:03.928261 config: drop-rate=0.00, max-delay=0s, seed=1552850283926957900
15:18:03.929959 router is listening at :3000
15:32:21.631248 [queue=0] packet #1163141167, 192.168.0.129:57206 -> 32.72.84.84:20527, sz=7 is delivered
16:01:33.884209 [queue=0] packet #1163141167, 192.168.0.129:57344 -> 32.72.84.84:20527, sz=7 is delivered
16:04:02.672371 [queue=0] packet #1163141167, 192.168.0.129:55824 -> 32.72.84.84:20527, sz=7 is delivered
16:15:13.309497 [queue=0] packet #0, 192.168.0.129:56958 -> 192.168.0.129:3000, sz=1013 is delivered
16:15:13.310496 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:56958, sz=1013 is delivered
16:16:36.616762 [queue=0] packet #0, 192.168.0.129:63115 -> 192.168.0.129:3000, sz=18 is delivered
16:16:36.617762 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:63115, sz=18 is delivered
16:21:20.823702 [queue=0] packet #0, 192.168.0.129:49944 -> 192.168.0.129:3000, sz=18 is delivered
16:21:20.823702 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:49944, sz=18 is delivered
16:21:41.705951 [queue=0] packet #0, 192.168.0.129:49946 -> 192.168.0.129:3000, sz=18 is delivered
16:21:41.706953 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:49946, sz=18 is delivered
16:24:18.023301 [queue=0] packet #0, 192.168.0.129:50233 -> 192.168.0.129:3000, sz=18 is delivered
16:24:18.024298 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:50233, sz=18 is delivered
16:30:05.177780 [queue=0] packet #0, 192.168.0.129:54417 -> 192.168.0.129:3000, sz=18 is delivered
16:30:05.182781 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:54417, sz=18 is delivered
16:30:32.062741 [queue=0] packet #0, 192.168.0.129:52689 -> 192.168.0.129:3000, sz=18 is delivered
16:30:32.063742 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:52689, sz=18 is delivered
16:31:16.381227 [queue=0] packet #0, 192.168.0.129:52700 -> 192.168.0.129:3000, sz=18 is delivered
16:31:16.381227 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:52700, sz=18 is delivered
16:31:35.292890 [queue=0] packet #0, 192.168.0.129:52701 -> 192.168.0.129:3000, sz=18 is delivered
16:31:35.294892 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:52701, sz=18 is delivered
16:32:17.167702 [queue=0] packet #0, 192.168.0.129:52704 -> 192.168.0.129:3000, sz=18 is delivered
16:32:17.172703 [queue=0] packet #0, 192.168.0.129:3000 -> 192.168.0.129:52704, sz=18 is delivered
17:11:58.933770 [queue=0] packet #1288, 192.168.0.129:63469 -> 192.168.0.129:3000, sz=18 is delivered
